id,uni_cofactor,uni_seq_len,pdbid,chid,basid,all_pdb_ligands,pdb_cofactors,n_pdb_cofactors,pdb_ligand_or_drugs,n_pdb_ligand_or_drugs,resrange,modeled_len,n_mut,n_missing_fsite,coverage,resolution,r_free,active_site,binding_site,dna_binding,zinc_finger,missing_pdb_resID,missing_uniprot_resID
P02462,[],1669,5NAY,5NAY.A,['1'],"['CL', 'SO4']",set(),0,"{'SO4', 'CL'}",2,1441-1669,229,0,0,0.1372079089275015,1.8,0.1994,[],[],[],[],"[(1, 1)]","[[(1441, 1441)]]"
P02462,[],1669,5NAY,5NAY.B,['1'],"['CL', 'SO4']",set(),0,"{'SO4', 'CL'}",2,1441-1669,229,0,0,0.1372079089275015,1.8,0.1994,[],[],[],[],"[(1, 1)]","[[(1441, 1441)]]"
P02462,[],1669,5NAY,5NAY.C,['1'],"['CL', 'SO4']",set(),0,"{'SO4', 'CL'}",2,1441-1669,229,0,0,0.1372079089275015,1.8,0.1994,[],[],[],[],"[(1, 1)]","[[(1441, 1441)]]"
P02462,[],1669,5NAY,5NAY.D,['1'],"['CL', 'SO4']",set(),0,"{'SO4', 'CL'}",2,1441-1669,229,0,0,0.1372079089275015,1.8,0.1994,[],[],[],[],"[(1, 1)]","[[(1441, 1441)]]"
P02462,[],1669,5NAY,5NAY.E,['1'],"['CL', 'SO4']",set(),0,"{'SO4', 'CL'}",2,1441-1669,229,0,0,0.1372079089275015,1.8,0.1994,[],[],[],[],[],[]
P02462,[],1669,5NAY,5NAY.F,['1'],"['CL', 'SO4']",set(),0,"{'SO4', 'CL'}",2,1441-1669,229,0,0,0.1372079089275015,1.8,0.1994,[],[],[],[],[],[]
P02462,[],1669,1LI1,1LI1.A,['1'],['ACT'],set(),0,{'ACT'},1,1441-1669,229,0,0,0.1372079089275015,1.9,0.202,[],[],[],[],"[(1, 1)]","[[(1441, 1441)]]"
P02462,[],1669,1LI1,1LI1.D,['1'],['ACT'],set(),0,{'ACT'},1,1441-1669,229,0,0,0.1372079089275015,1.9,0.202,[],[],[],[],"[(1, 1)]","[[(1441, 1441)]]"
P02462,[],1669,1LI1,1LI1.B,['1'],['ACT'],set(),0,{'ACT'},1,1441-1669,228,0,0,0.1366087477531456,1.9,0.202,[],[],[],[],"[(1, 2)]","[[(1441, 1442)]]"
P02462,[],1669,1LI1,1LI1.E,['1'],['ACT'],set(),0,{'ACT'},1,1441-1669,228,0,0,0.1366087477531456,1.9,0.202,[],[],[],[],"[(1, 2)]","[[(1441, 1442)]]"
P02462,[],1669,5NAX,5NAX.A,['1'],['CL'],set(),0,{'CL'},1,1441-1669,228,0,0,0.1366087477531456,2.82,0.1848,[],[],[],[],"[(1, 2), (229, 229)]","[[(1441, 1442)], [(1669, 1669)]]"
P02462,[],1669,5NAX,5NAX.B,['1'],['CL'],set(),0,{'CL'},1,1441-1669,228,0,0,0.1366087477531456,2.82,0.1848,[],[],[],[],"[(1, 2)]","[[(1441, 1442)]]"
P02462,[],1669,5NAX,5NAX.D,['1'],['CL'],set(),0,{'CL'},1,1441-1669,227,0,0,0.1360095865787897,2.82,0.1848,[],[],[],[],"[(1, 3), (229, 229)]","[[(1441, 1443)], [(1669, 1669)]]"
P02462,[],1669,5NAX,5NAX.F,['1'],['CL'],set(),0,{'CL'},1,1441-1669,225,0,0,0.1348112642300779,2.82,0.1848,[],[],[],[],"[(1, 4), (228, 229)]","[[(1441, 1444)], [(1668, 1669)]]"
P02462,[],1669,6MPX,6MPX.A,['1'],"['CL', 'SO4', 'PEG', 'PGE', 'P6G', 'GOL']",set(),0,"{'SO4', 'P6G', 'PGE', 'PEG', 'CL', 'GOL'}",6,1438-1666,224,0,0,0.13421210305572198,1.9,0.1767,[],[],[],[],"[(1, 20)]","[[(1438, 1443)]]"
