id,uni_cofactor,uni_seq_len,pdbid,chid,basid,all_pdb_ligands,pdb_cofactors,n_pdb_cofactors,pdb_ligand_or_drugs,n_pdb_ligand_or_drugs,resrange,modeled_len,n_mut,n_missing_fsite,coverage,resolution,r_free
P31645,[],630,6VRH,6VRH.A,['1'],"['8PR', 'NAG', 'CL', 'LMT']",set(),0,"{'NAG', '8PR', 'CL', 'LMT'}",4,1-630,543,0,0,0.861904761904762,3.3,
P31645,[],630,6VRL,6VRL.A,['1'],"['NAG', 'LMT', 'RFY']",set(),0,"{'RFY', 'NAG', 'LMT'}",3,1-630,543,0,0,0.861904761904762,3.8,
P31645,[],630,6VRK,6VRK.A,['1'],"['NAG', 'LMT', 'RFS']",set(),0,"{'RFS', 'NAG', 'LMT'}",3,1-630,543,0,0,0.861904761904762,4.1,
P31645,[],630,6W2B,6W2B.A,['1'],"['NAG', 'RFS']",set(),0,"{'RFS', 'NAG'}",2,76-618,543,0,0,0.861904761904762,4.7,0.2933
P31645,[],630,6W2C,6W2C.A,['1'],['RFY'],set(),0,{'RFY'},1,76-618,543,0,0,0.861904761904762,6.3,0.3695
P31645,[],630,7TXT,7TXT.C,['1'],['KWC'],set(),0,{'KWC'},1,77-617,541,0,0,0.8587301587301587,3.0,
P31645,[],630,7LWD,7LWD.A,['1'],"['IXX', 'NAG', 'YG7']",set(),0,"{'IXX', 'NAG', 'YG7'}",3,77-617,541,0,0,0.8587301587301587,3.65,
P31645,[],630,6DZZ,6DZZ.A,['1'],"['HJM', 'LMT']",set(),0,"{'LMT', 'HJM'}",2,78-617,540,0,0,0.8571428571428571,3.6,
P31645,[],630,7LIA,7LIA.A,['1'],"['CL', 'D10', 'LNK', 'CLR', 'SRO', 'NA', 'HP6']",set(),0,"{'LNK', 'CL', 'CLR', 'NA', 'HP6', 'D10', 'SRO'}",7,79-617,539,0,0,0.8555555555555555,3.3,
P31645,[],630,7LI6,7LI6.A,['1'],"['CL', 'R16', 'HP6', 'D10', 'LNK', 'D12']",set(),0,"{'D10', 'LNK', 'CL', 'D12', 'HP6', 'R16'}",6,79-617,539,0,0,0.8555555555555555,3.5,
P31645,[],630,7LI8,7LI8.A,['1'],"['R16', 'D10', 'D12', 'HP6', 'LNK']",set(),0,"{'D10', 'LNK', 'D12', 'HP6', 'R16'}",5,79-617,539,0,0,0.8555555555555555,3.9,
P31645,[],630,7LI9,7LI9.A,['1'],"['D12', 'HP6', 'D10', 'LNK', 'SRO', 'CL']",set(),0,"{'LNK', 'CL', 'D12', 'HP6', 'D10', 'SRO'}",6,79-617,539,0,0,0.8555555555555555,3.9,
P31645,[],630,7MGW,7MGW.A,['1'],"['CL', 'D12', 'LNK', 'HP6', 'D10', 'SRO', 'CLR']",set(),0,"{'LNK', 'CL', 'CLR', 'D12', 'HP6', 'D10', 'SRO'}",7,79-615,537,0,0,0.8523809523809524,3.5,
P31645,[],630,6DZY,6DZY.A,['1'],"['HJM', 'LMT']",set(),0,"{'LMT', 'HJM'}",2,79-615,537,0,0,0.8523809523809524,4.1,
